Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Experiment,TestType,TPS,Report,Disc Read [B],Memory(max) [MB],Memory(avg) [GB]
/node-besu3,1.1075,0.36041666666666666,0.654,626,0.00,0.00,2.07,16.0,4n-10s-ibft-v24.7.0_20260124_042244,open,160,open_tps160,,,
/node-besu1,1.0920833333333333,0.30583333333333335,1.02,618,0.00,0.00,0.430,8.00,4n-10s-ibft-v24.7.0_20260124_042244,open,160,open_tps160,,,
/node-besu4,0.5979166666666667,0.1925,0.482,474,0.00,0.00,1.77,0.00,4n-10s-ibft-v24.7.0_20260124_042244,open,160,open_tps160,,,
/node-besu2,1.1154166666666667,0.3120833333333333,0.494,475,0.00,0.00,1.75,0.00,4n-10s-ibft-v24.7.0_20260124_042244,open,160,open_tps160,,,
/node-besu3,0.10416666666666667,0.02791666666666667,0.652,667,0.00,0.00,1.46,,4n-10s-ibft-v24.7.0_20260124_042244,open,180,open_tps180,0.00,,
/node-besu1,0.017083333333333332,0.0062499999999999995,1.02,888,0.00,0.00,1.17,,4n-10s-ibft-v24.7.0_20260124_042244,open,180,open_tps180,0.00,,
/node-besu4,0.014166666666666668,0.007916666666666667,0.521,526,0.00,0.00,1.72,,4n-10s-ibft-v24.7.0_20260124_042244,open,180,open_tps180,0.00,,
/node-besu2,0.004583333333333333,0.002916666666666667,0.528,533,0.00,0.00,0.00,,4n-10s-ibft-v24.7.0_20260124_042244,open,180,open_tps180,0.00,,
/node-besu3,0.4916666666666667,0.12625,,671,0.00,0.00,1.34,,4n-10s-ibft-v24.7.0_20260124_042244,open,200,open_tps200,0.00,674,
/node-besu1,0.7487499999999999,0.20166666666666666,,880,0.00,0.00,1.21,,4n-10s-ibft-v24.7.0_20260124_042244,open,200,open_tps200,0.00,1.02e+3,
/node-besu4,0.015416666666666667,0.006666666666666667,,537,0.00,0.00,0.270,,4n-10s-ibft-v24.7.0_20260124_042244,open,200,open_tps200,0.00,543,
/node-besu2,0.030833333333333334,0.012499999999999999,,542,0.00,0.00,1.21,,4n-10s-ibft-v24.7.0_20260124_042244,open,200,open_tps200,0.00,542,
/node-besu3,0.006666666666666667,0.00375,0.661,,0.00,0.00,1.36,,4n-10s-ibft-v24.7.0_20260124_042244,open,220,open_tps220,0.00,,0.659
/node-besu1,0.26625,0.14833333333333334,1.10,,0.00,0.00,2.74,,4n-10s-ibft-v24.7.0_20260124_042244,open,220,open_tps220,0.00,,1.04
/node-besu4,0.006666666666666667,0.004583333333333333,0.561,,0.00,0.00,1.36,,4n-10s-ibft-v24.7.0_20260124_042244,open,220,open_tps220,0.00,,0.560
/node-besu2,0.27958333333333335,0.09499999999999999,0.567,,0.00,0.00,2.50,,4n-10s-ibft-v24.7.0_20260124_042244,open,220,open_tps220,0.00,,0.554
