Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu3,0.0025,0.0025,0.662,0.662,0.00,0.00,52.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,500,query_tps500
/node-besu1,0.008749999999999999,0.005833333333333334,1.10,1.10,0.00,0.00,0.00,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,500,query_tps500
/node-besu4,0.007083333333333334,0.004583333333333333,0.561,0.561,0.00,0.00,92.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,500,query_tps500
/node-besu2,0.008333333333333333,0.005416666666666667,0.567,0.567,0.00,0.00,84.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,500,query_tps500
/node-besu3,0.012499999999999999,0.0075,0.662,0.662,0.00,0.00,76.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,600,query_tps600
/node-besu1,0.015833333333333335,0.012083333333333333,1.10,1.10,0.00,0.00,0.00,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,600,query_tps600
/node-besu4,0.007916666666666667,0.005416666666666667,0.561,0.561,0.00,0.00,32.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,600,query_tps600
/node-besu2,0.007916666666666667,0.005416666666666667,0.567,0.567,0.00,0.00,24.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,600,query_tps600
/node-besu3,0.006666666666666667,0.004583333333333333,0.662,0.662,0.00,0.00,76.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,700,query_tps700
/node-besu1,0.002916666666666667,0.0025,1.10,1.10,0.00,0.00,16.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,700,query_tps700
/node-besu4,0.0025,0.0025,0.561,0.561,0.00,0.00,44.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,700,query_tps700
/node-besu2,0.002916666666666667,0.0025,0.567,0.567,0.00,0.00,48.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,700,query_tps700
/node-besu3,0.0025,0.0025,0.662,0.662,0.00,0.00,40.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,800,query_tps800
/node-besu1,0.0025,0.0025,1.10,1.10,0.00,0.00,0.00,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,800,query_tps800
/node-besu4,0.016666666666666666,0.009583333333333334,0.561,0.561,0.00,0.00,40.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,800,query_tps800
/node-besu2,0.0020833333333333333,0.0020833333333333333,0.567,0.567,0.00,0.00,40.0,0.00,4n-10s-ibft-v24.7.0_20260124_042244,query,800,query_tps800
