Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [MB],Memory(avg) [MB],Disc Write [B]
/node-besu3,0.004166666666666667,0.0033333333333333335,0.703,0.682,0.00,0.00,244,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,100,transfer_tps100,,,
/node-besu1,0.0075,0.005,1.10,1.02,0.00,0.00,0.00,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,100,transfer_tps100,,,
/node-besu4,0.006666666666666667,0.004583333333333333,0.563,0.562,0.00,0.00,0.00,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,100,transfer_tps100,,,
/node-besu2,0.015,0.011250000000000001,0.568,0.567,0.00,0.00,244,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,100,transfer_tps100,,,
/node-besu3,0.05333333333333334,0.01958333333333333,,,0.00,0.00,0.00,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,110,transfer_tps110,743,741,
/node-besu1,0.0025,0.0025,,,0.00,0.00,156,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,110,transfer_tps110,962,962,
/node-besu4,0.002916666666666667,0.0025,,,0.00,0.00,112,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,110,transfer_tps110,577,576,
/node-besu2,0.014166666666666668,0.0062499999999999995,,,0.00,0.00,200,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,110,transfer_tps110,582,581,
/node-besu3,0.0020833333333333333,0.0020833333333333333,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,120,transfer_tps120,743,743,0.00
/node-besu1,0.0020833333333333333,0.0020833333333333333,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,120,transfer_tps120,961,961,0.00
/node-besu4,0.0020833333333333333,0.0020833333333333333,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,120,transfer_tps120,577,577,0.00
/node-besu2,0.0020833333333333333,0.0020833333333333333,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,120,transfer_tps120,581,581,0.00
/node-besu3,0.0016666666666666668,0.0016666666666666668,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,130,transfer_tps130,743,743,0.00
/node-besu1,0.0025,0.0025,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,130,transfer_tps130,961,961,0.00
/node-besu4,0.0020833333333333333,0.0020833333333333333,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,130,transfer_tps130,577,577,0.00
/node-besu2,0.0020833333333333333,0.0020833333333333333,,,0.00,0.00,,0.00,4n-10s-ibft-v24.7.0_20260124_042244,transfer,130,transfer_tps130,582,582,0.00
