Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [MB]
/node-besu3,0.02291666666666667,0.013333333333333334,0.569,572,0.00,0.00,88.0,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,500,query_tps500,
/node-besu1,0.008333333333333333,0.005833333333333334,1.21,909,0.00,0.00,584,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,500,query_tps500,
/node-besu2,0.0075,0.005,0.589,603,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,500,query_tps500,
/node-besu4,0.0075,0.005416666666666667,0.479,485,0.00,0.00,76.0,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,500,query_tps500,
/node-besu3,0.012499999999999999,0.007916666666666667,,612,0.00,0.00,116,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,600,query_tps600,613
/node-besu1,0.0033333333333333335,0.002916666666666667,,564,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,600,query_tps600,574
/node-besu2,0.002916666666666667,0.002916666666666667,,603,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,600,query_tps600,603
/node-besu4,0.017916666666666668,0.010416666666666666,,505,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,600,query_tps600,507
/node-besu3,0.002916666666666667,0.0025,,612,0.00,0.00,40.0,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,700,query_tps700,612
/node-besu1,0.00375,0.0033333333333333335,,522,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,700,query_tps700,552
/node-besu2,0.0025,0.0025,,602,0.00,0.00,16.0,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,700,query_tps700,602
/node-besu4,0.002916666666666667,0.0025,,513,0.00,0.00,64.0,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,700,query_tps700,516
/node-besu3,0.0025,0.0025,,612,0.00,0.00,44.0,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,800,query_tps800,612
/node-besu1,0.012499999999999999,0.008749999999999999,,493,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,800,query_tps800,493
/node-besu2,0.007916666666666667,0.005,,602,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,800,query_tps800,602
/node-besu4,0.007916666666666667,0.005,,503,0.00,0.00,48.0,0.00,4n-10s-ibft-v25.12.0_20260124_035539,query,800,query_tps800,519
