Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [B]
/node-besu3,0.13458333333333333,0.04958333333333333,615,560,0.00,0.00,160,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,100,transfer_tps100,
/node-besu1,0.016666666666666666,0.008749999999999999,507,502,0.00,0.00,272,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,100,transfer_tps100,
/node-besu2,0.015416666666666667,0.006666666666666667,604,604,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,100,transfer_tps100,
/node-besu4,0.005416666666666667,0.00375,491,490,0.00,0.00,132,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,100,transfer_tps100,
/node-besu3,0.09625,0.03666666666666667,456,450,0.00,0.00,148,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,110,transfer_tps110,
/node-besu1,0.06541666666666666,0.024166666666666666,509,508,0.00,0.00,180,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,110,transfer_tps110,
/node-besu2,0.007083333333333334,0.00375,605,604,0.00,0.00,156,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,110,transfer_tps110,
/node-besu4,0.01958333333333333,0.01375,494,494,0.00,0.00,220,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,110,transfer_tps110,
/node-besu3,0.002916666666666667,0.002916666666666667,447,447,0.00,0.00,,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,120,transfer_tps120,0.00
/node-besu1,0.01916666666666667,0.01916666666666667,508,508,0.00,0.00,,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,120,transfer_tps120,0.00
/node-besu2,0.0025,0.0025,605,605,0.00,0.00,,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,120,transfer_tps120,0.00
/node-besu4,0.0033333333333333335,0.0033333333333333335,494,494,0.00,0.00,,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,120,transfer_tps120,0.00
/node-besu3,0.01375,0.007083333333333334,448,448,0.00,0.00,120,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,130,transfer_tps130,
/node-besu1,0.009166666666666667,0.005,522,516,0.00,0.00,172,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,130,transfer_tps130,
/node-besu2,0.01,0.005,606,605,0.00,0.00,168,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,130,transfer_tps130,
/node-besu4,0.016666666666666666,0.007083333333333334,495,494,0.00,0.00,0.00,0.00,4n-10s-ibft-v25.12.0_20260124_035539,transfer,130,transfer_tps130,
