Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [B]
/node-besu4,0.0020833333333333333,0.0020833333333333333,0.549,0.534,0.00,0.00,0.00,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,100,transfer_tps100,
/node-besu1,0.0020833333333333333,0.0020833333333333333,1.47,1.47,0.00,0.00,164,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,100,transfer_tps100,
/node-besu2,0.0020833333333333333,0.0020833333333333333,0.542,0.542,0.00,0.00,148,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,100,transfer_tps100,
/node-besu3,0.007083333333333334,0.004583333333333333,0.558,0.551,0.00,0.00,0.00,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,100,transfer_tps100,
/node-besu4,0.048749999999999995,0.01916666666666667,0.549,0.549,0.00,0.00,148,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,110,transfer_tps110,
/node-besu1,0.015,0.006666666666666667,1.47,1.47,0.00,0.00,140,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,110,transfer_tps110,
/node-besu2,0.016666666666666666,0.007083333333333334,0.543,0.542,0.00,0.00,124,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,110,transfer_tps110,
/node-besu3,0.05625,0.02,0.559,0.558,0.00,0.00,96.0,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,110,transfer_tps110,
/node-besu4,0.0020833333333333333,0.0020833333333333333,0.549,0.549,0.00,0.00,,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,120,transfer_tps120,0.00
/node-besu1,0.0025,0.0025,1.47,1.47,0.00,0.00,,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,120,transfer_tps120,0.00
/node-besu2,0.0020833333333333333,0.0020833333333333333,0.542,0.542,0.00,0.00,,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,120,transfer_tps120,0.00
/node-besu3,0.0020833333333333333,0.0020833333333333333,0.558,0.558,0.00,0.00,,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,120,transfer_tps120,0.00
/node-besu4,0.017083333333333332,0.007083333333333334,0.550,0.550,0.00,0.00,88.0,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,130,transfer_tps130,
/node-besu1,0.010833333333333334,0.005,1.47,1.47,0.00,0.00,100,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,130,transfer_tps130,
/node-besu2,0.008333333333333333,0.004166666666666667,0.543,0.543,0.00,0.00,88.0,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,130,transfer_tps130,
/node-besu3,0.012083333333333333,0.0075,0.559,0.559,0.00,0.00,92.0,0.00,4n-10s-qbft-v24.7.0_20260124_043110,transfer,130,transfer_tps130,
