Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB]
/node-besu4,0.5491666666666667,0.11125,510,493,0.00,0.00,0.359,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,160,open_tps160,
/node-besu1,0.8491666666666666,0.27999999999999997,834,686,0.00,0.00,2.36,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,160,open_tps160,
/node-besu3,0.6795833333333333,0.14916666666666667,505,489,0.00,0.00,1.45,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,160,open_tps160,
/node-besu2,0.6275000000000001,0.15291666666666667,593,572,0.00,0.00,1.40,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,160,open_tps160,
/node-besu4,0.7566666666666667,0.22291666666666665,514,512,0.00,0.00,1.07,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,180,open_tps180,
/node-besu1,0.7816666666666667,0.23166666666666666,742,670,0.00,0.00,1.99,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,180,open_tps180,
/node-besu3,0.09291666666666666,0.02625,509,507,0.00,0.00,0.832,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,180,open_tps180,
/node-besu2,0.145,0.03875,599,594,0.00,0.00,0.762,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,180,open_tps180,
/node-besu4,0.46458333333333335,0.15666666666666665,516,515,0.00,0.00,0.781,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,200,open_tps200,
/node-besu1,0.6379166666666667,0.21666666666666667,800,740,0.00,0.00,1.14,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,200,open_tps200,
/node-besu3,0.11958333333333333,0.042083333333333334,510,510,0.00,0.00,0.676,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,200,open_tps200,
/node-besu2,0.20791666666666667,0.07083333333333333,605,603,0.00,0.00,0.0703,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,200,open_tps200,
/node-besu4,0.09541666666666666,0.035833333333333335,,540,0.00,0.00,0.379,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,220,open_tps220,0.540
/node-besu1,0.9166666666666666,0.30791666666666667,,836,0.00,0.00,1.27,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,220,open_tps220,1.02
/node-besu3,1.0745833333333332,0.36000000000000004,,590,0.00,0.00,0.102,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,220,open_tps220,0.625
/node-besu2,0.6175,0.20750000000000002,,605,0.00,0.00,1.14,0.00,4n-15s-ibft-v25.10.0_20260124_135544,open,220,open_tps220,0.591
