Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu4,0.009166666666666667,0.005833333333333334,553,553,0.00,0.00,228,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,500,query_tps500
/node-besu1,0.015,0.014166666666666668,659,659,0.00,0.00,220,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,500,query_tps500
/node-besu3,0.03375,0.020833333333333332,619,619,0.00,0.00,272,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,500,query_tps500
/node-besu2,0.011666666666666667,0.009583333333333334,606,606,0.00,0.00,212,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,500,query_tps500
/node-besu4,0.0025,0.0025,553,553,0.00,0.00,16.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,600,query_tps600
/node-besu1,0.010416666666666666,0.006666666666666667,659,659,0.00,0.00,172,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,600,query_tps600
/node-besu3,0.008749999999999999,0.005833333333333334,620,620,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,600,query_tps600
/node-besu2,0.015833333333333335,0.009166666666666667,607,606,0.00,0.00,12.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,600,query_tps600
/node-besu4,0.002916666666666667,0.0025,553,553,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,700,query_tps700
/node-besu1,0.008749999999999999,0.0062499999999999995,659,651,0.00,0.00,140,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,700,query_tps700
/node-besu3,0.007083333333333334,0.005,620,620,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,700,query_tps700
/node-besu2,0.02,0.014583333333333332,606,606,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,700,query_tps700
/node-besu4,0.0075,0.005,553,553,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,800,query_tps800
/node-besu1,0.007916666666666667,0.005416666666666667,644,644,0.00,0.00,188,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,800,query_tps800
/node-besu3,0.0025,0.0025,620,620,0.00,0.00,16.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,800,query_tps800
/node-besu2,0.0025,0.0025,606,606,0.00,0.00,148,0.00,4n-15s-ibft-v25.10.0_20260124_135544,query,800,query_tps800
