Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu4,0.24166666666666667,0.0825,554,554,0.00,0.00,16.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,100,transfer_tps100
/node-besu1,0.055,0.020416666666666666,646,645,0.00,0.00,260,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,100,transfer_tps100
/node-besu3,0.002916666666666667,0.002916666666666667,620,620,0.00,0.00,96.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,100,transfer_tps100
/node-besu2,0.023333333333333334,0.009583333333333334,608,607,0.00,0.00,16.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,100,transfer_tps100
/node-besu4,0.11333333333333334,0.03958333333333333,554,554,0.00,0.00,16.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,110,transfer_tps110
/node-besu1,0.007083333333333334,0.004166666666666667,645,645,0.00,0.00,156,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,110,transfer_tps110
/node-besu3,0.002916666666666667,0.0025,621,621,0.00,0.00,16.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,110,transfer_tps110
/node-besu2,0.0062499999999999995,0.004166666666666667,610,609,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,110,transfer_tps110
/node-besu4,0.07583333333333334,0.027083333333333334,555,555,0.00,0.00,16.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,120,transfer_tps120
/node-besu1,0.007083333333333334,0.004583333333333333,646,645,0.00,0.00,140,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,120,transfer_tps120
/node-besu3,0.0025,0.0025,622,621,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,120,transfer_tps120
/node-besu2,0.0025,0.0025,611,610,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,120,transfer_tps120
/node-besu4,0.03791666666666667,0.014166666666666668,556,555,0.00,0.00,80.0,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,130,transfer_tps130
/node-besu1,0.007916666666666667,0.004583333333333333,646,646,0.00,0.00,240,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,130,transfer_tps130
/node-besu3,0.04125,0.015416666666666667,623,622,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,130,transfer_tps130
/node-besu2,0.09708333333333334,0.034166666666666665,611,610,0.00,0.00,0.00,0.00,4n-15s-ibft-v25.10.0_20260124_135544,transfer,130,transfer_tps130
