Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu3,0.015833333333333335,0.009166666666666667,0.587,0.587,0.00,0.00,32.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,500,query_tps500
/node-besu4,0.0033333333333333335,0.002916666666666667,0.537,0.532,0.00,0.00,0.00,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,500,query_tps500
/node-besu2,0.004166666666666667,0.0033333333333333335,0.548,0.548,0.00,0.00,76.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,500,query_tps500
/node-besu1,0.008333333333333333,0.005833333333333334,1.08,1.08,0.00,0.00,216,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,500,query_tps500
/node-besu3,0.020416666666666666,0.011666666666666667,0.587,0.587,0.00,0.00,44.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,600,query_tps600
/node-besu4,0.005833333333333334,0.004166666666666667,0.538,0.538,0.00,0.00,0.00,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,600,query_tps600
/node-besu2,0.011250000000000001,0.007083333333333334,0.548,0.548,0.00,0.00,88.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,600,query_tps600
/node-besu1,0.004166666666666667,0.00375,1.08,1.08,0.00,0.00,232,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,600,query_tps600
/node-besu3,0.002916666666666667,0.0025,0.586,0.586,0.00,0.00,0.00,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,700,query_tps700
/node-besu4,0.0025,0.0025,0.538,0.538,0.00,0.00,76.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,700,query_tps700
/node-besu2,0.004166666666666667,0.0033333333333333335,0.548,0.548,0.00,0.00,32.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,700,query_tps700
/node-besu1,0.002916666666666667,0.0025,1.08,1.08,0.00,0.00,132,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,700,query_tps700
/node-besu3,0.004166666666666667,0.0033333333333333335,0.587,0.587,0.00,0.00,12.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,800,query_tps800
/node-besu4,0.006666666666666667,0.004583333333333333,0.538,0.538,0.00,0.00,0.00,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,800,query_tps800
/node-besu2,0.002916666666666667,0.0025,0.548,0.548,0.00,0.00,40.0,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,800,query_tps800
/node-besu1,0.006666666666666667,0.004583333333333333,1.08,1.08,0.00,0.00,200,0.00,4n-15s-qbft-v25.10.0_20260124_124946,query,800,query_tps800
