Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [KB],Memory(max) [GB],Memory(avg) [GB]
/node-besu2,0.19291666666666665,0.04416666666666667,589,573,0.00,0.00,0.727,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,160,open_tps160,,,
/node-besu1,0.4054166666666667,0.1708333333333333,790,625,0.00,0.00,1.24,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,160,open_tps160,,,
/node-besu6,0.47,0.11833333333333333,601,586,0.00,0.00,1.41,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,160,open_tps160,,,
/node-besu4,0.3429166666666667,0.09208333333333334,612,524,0.00,0.00,1.43,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,160,open_tps160,,,
/node-besu3,0.40375,0.09916666666666667,589,555,0.00,0.00,0.117,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,160,open_tps160,,,
/node-besu5,0.38875,0.09583333333333333,626,599,0.00,0.00,0.641,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,160,open_tps160,,,
/node-besu2,0.23208333333333334,0.06333333333333334,595,591,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,180,open_tps180,268,,
/node-besu1,0.47208333333333335,0.12916666666666668,986,906,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,180,open_tps180,0.00,,
/node-besu6,0.21041666666666667,0.057916666666666665,693,625,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,180,open_tps180,576,,
/node-besu4,0.0325,0.01,600,598,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,180,open_tps180,568,,
/node-besu3,0.03833333333333334,0.011666666666666667,585,584,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,180,open_tps180,812,,
/node-besu5,0.042916666666666665,0.012499999999999999,723,668,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,180,open_tps180,288,,
/node-besu2,0.4825,0.13833333333333334,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,200,open_tps200,744,0.581,0.579
/node-besu1,0.52625,0.14083333333333334,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,200,open_tps200,0.00,1.11,1.00
/node-besu6,0.23666666666666666,0.06375,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,200,open_tps200,680,0.690,0.687
/node-besu4,0.67875,0.1758333333333333,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,200,open_tps200,812,0.626,0.607
/node-besu3,0.028333333333333335,0.014166666666666668,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,200,open_tps200,148,0.572,0.572
/node-besu5,0.12541666666666665,0.03666666666666667,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,200,open_tps200,476,0.707,0.592
/node-besu2,0.023333333333333334,0.009583333333333334,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,220,open_tps220,96.0,0.583,0.582
/node-besu1,0.13666666666666666,0.03791666666666667,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,220,open_tps220,880,1.11,1.11
/node-besu6,0.012499999999999999,0.005,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,220,open_tps220,684,0.693,0.692
/node-besu4,0.009166666666666667,0.005,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,220,open_tps220,0.00,0.686,0.671
/node-besu3,0.012083333333333333,0.005,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,220,open_tps220,236,0.597,0.588
/node-besu5,0.018333333333333333,0.009166666666666667,,,0.00,0.00,,0.00,6n-10s-ibft-v25.12.0_20260124_040424,open,220,open_tps220,0.00,0.635,0.612
