Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB],Disc Write [KB]
/node-besu5,0.18833333333333332,0.07666666666666667,594,563,0.00,0.00,1.36,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,160,open_tps160,,,
/node-besu1,0.7245833333333334,0.28291666666666665,980,612,0.00,0.00,0.00,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,160,open_tps160,,,
/node-besu3,0.5208333333333334,0.12791666666666665,558,505,0.00,0.00,0.297,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,160,open_tps160,,,
/node-besu2,0.585,0.14166666666666666,560,502,0.00,0.00,1.34,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,160,open_tps160,,,
/node-besu6,1.21125,0.2579166666666667,627,588,0.00,0.00,0.180,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,160,open_tps160,,,
/node-besu4,0.5608333333333334,0.13333333333333333,605,584,0.00,0.00,1.29,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,160,open_tps160,,,
/node-besu5,0.12583333333333332,0.035416666666666666,,596,0.00,0.00,0.734,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,180,open_tps180,0.584,,
/node-besu1,0.10791666666666666,0.029166666666666664,,1.01e+3,0.00,0.00,1.04,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,180,open_tps180,1.08,,
/node-besu3,0.11916666666666666,0.0325,,519,0.00,0.00,1.36,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,180,open_tps180,0.584,,
/node-besu2,0.1625,0.04708333333333333,,467,0.00,0.00,0.902,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,180,open_tps180,0.564,,
/node-besu6,0.15375,0.04416666666666667,,628,0.00,0.00,0.664,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,180,open_tps180,0.615,,
/node-besu4,0.5425,0.13916666666666666,,608,0.00,0.00,0.863,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,180,open_tps180,0.599,,
/node-besu5,0.017916666666666668,0.009583333333333334,,,0.00,0.00,0.645,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,200,open_tps200,0.591,0.588,
/node-besu1,0.9,0.26458333333333334,,,0.00,0.00,1.04,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,200,open_tps200,1.09,1.08,
/node-besu3,0.3354166666666667,0.09000000000000001,,,0.00,0.00,0.699,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,200,open_tps200,0.589,0.588,
/node-besu2,0.36000000000000004,0.09291666666666666,,,0.00,0.00,0.762,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,200,open_tps200,0.573,0.479,
/node-besu6,0.44625000000000004,0.11416666666666668,,,0.00,0.00,0.430,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,200,open_tps200,0.620,0.619,
/node-besu4,0.4275,0.11,,,0.00,0.00,0.688,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,200,open_tps200,0.601,0.600,
/node-besu5,0.6175,0.20750000000000002,,,0.00,0.00,,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,220,open_tps220,0.607,0.601,668
/node-besu1,0.75,0.2525,,,0.00,0.00,,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,220,open_tps220,1.09,1.09,1.00e+3
/node-besu3,0.7354166666666666,0.24708333333333332,,,0.00,0.00,,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,220,open_tps220,0.605,0.596,204
/node-besu2,0.5245833333333333,0.1775,,,0.00,0.00,,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,220,open_tps220,0.543,0.488,164
/node-besu6,0.7108333333333333,0.23958333333333334,,,0.00,0.00,,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,220,open_tps220,0.622,0.621,980
/node-besu4,0.6791666666666667,0.22833333333333336,,,0.00,0.00,,0.00,6n-10s-qbft-v25.12.0_20260124_033749,open,220,open_tps220,0.603,0.602,636
