Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB],Disc Write [KB],Disc Read [KB]
/node-besu4,0.5916666666666667,0.16708333333333333,508,489,0.00,0.00,1.47,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,160,open_tps160,,,,
/node-besu6,0.6195833333333333,0.20375,481,471,0.00,0.00,1.41,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,160,open_tps160,,,,
/node-besu2,0.6958333333333333,0.13083333333333333,538,495,0.00,0.00,1.41,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,160,open_tps160,,,,
/node-besu5,0.6475,0.13583333333333333,539,511,0.00,0.00,1.37,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,160,open_tps160,,,,
/node-besu3,0.6154166666666666,0.14375000000000002,512,468,0.00,0.00,1.41,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,160,open_tps160,,,,
/node-besu1,0.7916666666666666,0.16041666666666668,756,653,0.00,0.00,2.18,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,160,open_tps160,,,,
/node-besu4,0.6954166666666667,0.205,524,516,0.00,0.00,0.871,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,180,open_tps180,,,,
/node-besu6,0.3045833333333333,0.08166666666666667,515,498,0.00,0.00,0.0156,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,180,open_tps180,,,,
/node-besu2,0.215,0.05625,541,540,0.00,0.00,0.824,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,180,open_tps180,,,,
/node-besu5,0.135,0.03625,544,542,0.00,0.00,0.152,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,180,open_tps180,,,,
/node-besu3,0.22416666666666665,0.06125,503,502,0.00,0.00,0.191,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,180,open_tps180,,,,
/node-besu1,0.6291666666666667,0.165,991,786,0.00,0.00,1.77,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,180,open_tps180,,,,
/node-besu4,0.4945833333333333,0.11,,,0.00,0.00,0.758,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,200,open_tps200,0.513,0.513,,
/node-besu6,0.9991666666666666,0.21416666666666664,,,0.00,0.00,0.355,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,200,open_tps200,0.534,0.512,,
/node-besu2,0.3658333333333333,0.0775,,,0.00,0.00,0.871,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,200,open_tps200,0.534,0.530,,
/node-besu5,0.4691666666666667,0.09708333333333334,,,0.00,0.00,0.824,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,200,open_tps200,0.533,0.533,,
/node-besu3,0.45208333333333334,0.09416666666666666,,,0.00,0.00,1.44,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,200,open_tps200,0.528,0.525,,
/node-besu1,0.5750000000000001,0.11916666666666666,,,0.00,0.00,1.72,0.00,6n-15s-ibft-v25.10.0_20260124_141512,open,200,open_tps200,1.10,1.05,,
/node-besu4,0.15208333333333332,0.042916666666666665,,,0.00,0.00,,,6n-15s-ibft-v25.10.0_20260124_141512,open,220,open_tps220,0.566,0.552,708,0.00
/node-besu6,0.72625,0.18625,,,0.00,0.00,,,6n-15s-ibft-v25.10.0_20260124_141512,open,220,open_tps220,0.558,0.550,288,0.00
/node-besu2,0.5654166666666667,0.14583333333333334,,,0.00,0.00,,,6n-15s-ibft-v25.10.0_20260124_141512,open,220,open_tps220,0.625,0.613,700,4.00
/node-besu5,0.5933333333333334,0.155,,,0.00,0.00,,,6n-15s-ibft-v25.10.0_20260124_141512,open,220,open_tps220,0.564,0.541,4.00,0.00
/node-besu3,0.7200000000000001,0.18375,,,0.00,0.00,,,6n-15s-ibft-v25.10.0_20260124_141512,open,220,open_tps220,0.532,0.530,768,0.00
/node-besu1,0.7279166666666667,0.18583333333333332,,,0.00,0.00,,,6n-15s-ibft-v25.10.0_20260124_141512,open,220,open_tps220,1.12,1.11,944,0.00
