Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu4,0.47833333333333333,0.16125,0.559,0.559,0.00,0.00,12.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,100,transfer_tps100
/node-besu6,0.08208333333333333,0.029166666666666664,0.557,0.556,0.00,0.00,124,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,100,transfer_tps100
/node-besu2,0.14708333333333332,0.050833333333333335,0.626,0.626,0.00,0.00,128,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,100,transfer_tps100
/node-besu5,0.19375,0.06708333333333334,0.613,0.602,0.00,0.00,160,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,100,transfer_tps100
/node-besu3,0.13125,0.04541666666666667,0.614,0.614,0.00,0.00,160,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,100,transfer_tps100
/node-besu1,0.10708333333333332,0.03791666666666667,1.11,1.11,0.00,0.00,152,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,100,transfer_tps100
/node-besu4,0.14666666666666667,0.05375,0.563,0.560,0.00,0.00,156,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,110,transfer_tps110
/node-besu6,0.005833333333333334,0.00375,0.557,0.557,0.00,0.00,220,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,110,transfer_tps110
/node-besu2,0.005416666666666667,0.00375,0.627,0.627,0.00,0.00,224,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,110,transfer_tps110
/node-besu5,0.0025,0.0025,0.599,0.599,0.00,0.00,212,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,110,transfer_tps110
/node-besu3,0.002916666666666667,0.0025,0.613,0.613,0.00,0.00,208,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,110,transfer_tps110
/node-besu1,0.002916666666666667,0.0025,1.11,1.11,0.00,0.00,212,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,110,transfer_tps110
/node-besu4,0.009166666666666667,0.005,0.564,0.563,0.00,0.00,224,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,120,transfer_tps120
/node-besu6,0.0075,0.004166666666666667,0.557,0.557,0.00,0.00,0.00,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,120,transfer_tps120
/node-besu2,0.009583333333333334,0.005,0.627,0.627,0.00,0.00,228,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,120,transfer_tps120
/node-besu5,0.007083333333333334,0.004166666666666667,0.599,0.599,0.00,0.00,200,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,120,transfer_tps120
/node-besu3,0.0075,0.004166666666666667,0.614,0.614,0.00,0.00,212,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,120,transfer_tps120
/node-besu1,0.007916666666666667,0.004583333333333333,1.11,1.11,0.00,0.00,232,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,120,transfer_tps120
/node-besu4,0.07833333333333332,0.02791666666666667,0.564,0.564,0.00,0.00,0.00,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,130,transfer_tps130
/node-besu6,0.002916666666666667,0.0025,0.558,0.558,0.00,0.00,156,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,130,transfer_tps130
/node-besu2,0.002916666666666667,0.0025,0.628,0.628,0.00,0.00,92.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,130,transfer_tps130
/node-besu5,0.0025,0.0025,0.600,0.599,0.00,0.00,72.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,130,transfer_tps130
/node-besu3,0.0025,0.0025,0.614,0.614,0.00,0.00,108,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,130,transfer_tps130
/node-besu1,0.020833333333333332,0.010416666666666666,1.11,1.11,0.00,0.00,108,0.00,6n-15s-ibft-v25.10.0_20260124_141512,transfer,130,transfer_tps130
