Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB],Disc Write [KB]
/node-besu3,0.27416666666666667,0.17166666666666666,629,602,0.00,0.00,1.32,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,160,open_tps160,,,
/node-besu6,0.8416666666666667,0.28125,607,578,0.00,0.00,0.816,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,160,open_tps160,,,
/node-besu2,0.67875,0.2508333333333333,589,567,0.00,0.00,1.05,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,160,open_tps160,,,
/node-besu5,0.67125,0.24166666666666667,611,572,0.00,0.00,1.38,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,160,open_tps160,,,
/node-besu1,0.6216666666666667,0.29333333333333333,971,681,0.00,0.00,1.70,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,160,open_tps160,,,
/node-besu4,0.6491666666666667,0.26708333333333334,595,560,0.00,0.00,1.30,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,160,open_tps160,,,
/node-besu3,0.24416666666666667,0.08374999999999999,632,631,0.00,0.00,0.434,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,180,open_tps180,,,
/node-besu6,0.00375,0.0033333333333333335,611,610,0.00,0.00,0.723,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,180,open_tps180,,,
/node-besu2,0.006666666666666667,0.005,593,591,0.00,0.00,0.445,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,180,open_tps180,,,
/node-besu5,0.0033333333333333335,0.002916666666666667,625,563,0.00,0.00,0.445,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,180,open_tps180,,,
/node-besu1,0.021666666666666667,0.012916666666666667,980,977,0.00,0.00,1.09,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,180,open_tps180,,,
/node-besu4,0.002916666666666667,0.002916666666666667,590,589,0.00,0.00,0.449,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,180,open_tps180,,,
/node-besu3,0.2175,0.07666666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,200,open_tps200,0.619,0.618,524
/node-besu6,0.0033333333333333335,0.0025,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,200,open_tps200,0.601,0.599,548
/node-besu2,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,200,open_tps200,0.591,0.585,536
/node-besu5,0.005,0.00375,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,200,open_tps200,0.620,0.616,532
/node-besu1,0.2304166666666667,0.07916666666666666,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,200,open_tps200,1.11,1.05,772
/node-besu4,0.002916666666666667,0.0025,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,200,open_tps200,0.578,0.577,532
/node-besu3,0.6629166666666667,0.22416666666666665,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,220,open_tps220,0.621,0.561,712
/node-besu6,0.029166666666666664,0.014583333333333332,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,220,open_tps220,0.602,0.601,676
/node-besu2,0.03958333333333333,0.01958333333333333,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,220,open_tps220,0.592,0.592,684
/node-besu5,0.1725,0.0675,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,220,open_tps220,0.622,0.622,712
/node-besu1,0.37999999999999995,0.1325,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,220,open_tps220,1.13,1.12,916
/node-besu4,0.15958333333333333,0.05958333333333333,,,0.00,0.00,,0.00,6n-5s-ibft-v25.12.0_20260124_031259,open,220,open_tps220,0.580,0.579,652
