Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu8,0.0033333333333333335,0.002916666666666667,456,456,0.00,0.00,16.0,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu7,0.002916666666666667,0.002916666666666667,640,640,0.00,0.00,196,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu3,0.004583333333333333,0.00375,628,628,0.00,0.00,200,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu2,0.0025,0.0025,658,657,0.00,0.00,196,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu5,0.002916666666666667,0.002916666666666667,636,635,0.00,0.00,188,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu4,0.008749999999999999,0.005416666666666667,670,669,0.00,0.00,196,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu6,0.0033333333333333335,0.002916666666666667,490,483,0.00,0.00,232,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu1,0.002916666666666667,0.0025,980,977,0.00,0.00,32.0,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
/node-besu8,0.21875,0.07708333333333334,461,458,0.00,0.00,0.00,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu7,0.007916666666666667,0.005416666666666667,642,641,0.00,0.00,220,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu3,0.002916666666666667,0.0025,629,628,0.00,0.00,232,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu2,0.002916666666666667,0.0025,658,658,0.00,0.00,232,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu5,0.004583333333333333,0.0033333333333333335,636,636,0.00,0.00,216,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu4,0.004583333333333333,0.0033333333333333335,670,670,0.00,0.00,236,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu6,0.010833333333333334,0.005416666666666667,462,460,0.00,0.00,268,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu1,0.005416666666666667,0.00375,981,980,0.00,0.00,144,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
/node-besu8,0.018333333333333333,0.01,456,453,0.00,0.00,340,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu7,0.02625,0.010416666666666666,642,642,0.00,0.00,264,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu3,0.030416666666666665,0.011666666666666667,629,629,0.00,0.00,212,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu2,0.02791666666666667,0.010833333333333334,659,658,0.00,0.00,236,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu5,0.02625,0.010416666666666666,636,636,0.00,0.00,232,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu4,0.028749999999999998,0.011666666666666667,671,671,0.00,0.00,212,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu6,0.09958333333333334,0.03625,459,458,0.00,0.00,312,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu1,0.02666666666666667,0.010833333333333334,981,981,0.00,0.00,100,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
/node-besu8,0.09999999999999999,0.035833333333333335,455,454,0.00,0.00,16.0,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
/node-besu7,0.013333333333333334,0.0062499999999999995,643,642,0.00,0.00,136,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
/node-besu3,0.007916666666666667,0.005,629,629,0.00,0.00,156,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
/node-besu2,0.011250000000000001,0.0062499999999999995,659,658,0.00,0.00,124,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
/node-besu5,0.007916666666666667,0.004583333333333333,636,636,0.00,0.00,136,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
/node-besu4,0.014166666666666668,0.008333333333333333,671,671,0.00,0.00,120,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
/node-besu6,0.010833333333333334,0.0062499999999999995,460,460,0.00,0.00,188,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
/node-besu1,0.008333333333333333,0.004583333333333333,981,981,0.00,0.00,16.0,0.00,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
