Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu7,0.008333333333333333,0.005833333333333334,0.638,0.638,0.00,0.00,212,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu8,0.002916666666666667,0.002916666666666667,0.642,0.641,0.00,0.00,132,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu2,0.002916666666666667,0.002916666666666667,0.648,0.648,0.00,0.00,84.0,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu1,0.002916666666666667,0.002916666666666667,1.11,1.11,0.00,0.00,200,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu3,0.004166666666666667,0.0033333333333333335,0.686,0.686,0.00,0.00,188,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu6,0.004166666666666667,0.0033333333333333335,0.672,0.671,0.00,0.00,196,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu4,0.0033333333333333335,0.002916666666666667,0.683,0.682,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu5,0.0033333333333333335,0.002916666666666667,0.662,0.661,0.00,0.00,84.0,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
/node-besu7,0.03958333333333333,0.02125,0.639,0.639,0.00,0.00,84.0,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu8,0.007083333333333334,0.005,0.642,0.642,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu2,0.006666666666666667,0.004583333333333333,0.648,0.648,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu1,0.002916666666666667,0.002916666666666667,1.11,1.11,0.00,0.00,80.0,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu3,0.005416666666666667,0.004166666666666667,0.687,0.687,0.00,0.00,104,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu6,0.005833333333333334,0.004583333333333333,0.673,0.672,0.00,0.00,80.0,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu4,0.004166666666666667,0.0033333333333333335,0.684,0.684,0.00,0.00,176,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu5,0.0025,0.0025,0.662,0.662,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
/node-besu7,0.05625,0.035833333333333335,0.639,0.639,0.00,0.00,144,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu8,0.0033333333333333335,0.002916666666666667,0.643,0.643,0.00,0.00,112,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu2,0.007083333333333334,0.004583333333333333,0.649,0.649,0.00,0.00,132,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu1,0.002916666666666667,0.002916666666666667,1.11,1.11,0.00,0.00,116,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu3,0.0025,0.0025,0.687,0.687,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu6,0.005416666666666667,0.00375,0.672,0.672,0.00,0.00,140,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu4,0.0062499999999999995,0.004166666666666667,0.684,0.684,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu5,0.004166666666666667,0.0033333333333333335,0.663,0.662,0.00,0.00,156,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
/node-besu7,0.0033333333333333335,0.002916666666666667,0.640,0.640,0.00,0.00,176,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
/node-besu8,0.014583333333333332,0.008333333333333333,0.644,0.643,0.00,0.00,132,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
/node-besu2,0.014166666666666668,0.008333333333333333,0.649,0.649,0.00,0.00,140,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
/node-besu1,0.014583333333333332,0.008749999999999999,1.11,1.11,0.00,0.00,148,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
/node-besu3,0.014583333333333332,0.008749999999999999,0.688,0.687,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
/node-besu6,0.02125,0.011666666666666667,0.673,0.673,0.00,0.00,148,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
/node-besu4,0.016666666666666666,0.009583333333333334,0.685,0.685,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
/node-besu5,0.015833333333333335,0.009166666666666667,0.663,0.663,0.00,0.00,0.00,0.00,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
